"","checklist_id","global_unique_identifier","last_edited_date","taxonomic_order","category","common_name","scientific_name","observation_count","breeding_bird_atlas_code","breeding_bird_atlas_category","age_sex","country","country_code","state","state_code","county","county_code","iba_code","bcr_code","usfws_code","atlas_block","locality","locality_id","locality_type","latitude","longitude","observation_date","time_observations_started","observer_id","sampling_event_identifier","protocol_type","protocol_code","project_code","duration_minutes","effort_distance_km","effort_area_ha","number_observers","all_species_reported","group_identifier","has_media","approved","reviewed","reason","trip_comments","species_comments"
"229","S11046068","URN:CornellLabOfOrnithology:EBIRD:OBS157282611","2018-08-22 10:52:13",12309,"species","Kawall's Parrot","Amazona kawalli","4",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Cristalino Lodge--Torre 2 and trail","L2326048","H",-9.6007896,-55.9228429,2012-06-19,NA,"obsr37316","S11046068","Incidental","P20","EBIRD",NA,NA,NA,2,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"230","S28067992","URN:CornellLabOfOrnithology:EBIRD:OBS380145588","2021-01-25 11:59:30.098727",12309,"species","Kawall's Parrot","Amazona kawalli","1",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"River between lodge & Serra Nova Trail","L4352575","P",-9.5843316,-55.9283924,2012-07-25,"05:45:00","obsr669043","S28067992","Traveling","P22","EBIRD",45,3,NA,7,TRUE,NA,FALSE,TRUE,FALSE,NA,"Tropical Birding tour",NA
"231","S26254704","URN:CornellLabOfOrnithology:EBIRD:OBS358590385","2018-04-15 21:19:47",12309,"species","Kawall's Parrot","Amazona kawalli","4",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Cristalino Lodge--Torre 1","L2319134","H",-9.5987073,-55.9367341,2012-07-24,"05:30:00","obsr669043","S26254704","Stationary","P21","EBIRD",150,NA,NA,7,FALSE,NA,FALSE,TRUE,FALSE,NA,"Tropical Birding tour led by Nick Athens; early morning visit to ""Old Tower""",NA
"232","S24474098","URN:CornellLabOfOrnithology:EBIRD:OBS334570746","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2012-09-18,"14:00:00","obsr521086","S24474098","Historical","P62","EBIRD",1440,4,NA,6,FALSE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"233","S75250554","URN:CornellLabOfOrnithology:EBIRD:OBS1001034707","2020-10-23 11:04:45",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2012-10-15,"05:30:00","obsr276981","S75250554","Traveling","P22","EBIRD",720,10,NA,8,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"234","S12284050","URN:CornellLabOfOrnithology:EBIRD:OBS172540474","2015-11-09 13:13:05",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2012-11-19,NA,"obsr103929","S12284050","Historical","P62","EBIRD",NA,NA,NA,2,TRUE,NA,FALSE,TRUE,FALSE,NA,"Rain in a.m. Lodge, Rocks trail, Rio Cristalino, Limo, ending day after dusk at start of Cacao trail.",NA
"235","S12287970","URN:CornellLabOfOrnithology:EBIRD:OBS172587570","2015-11-09 13:12:08",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2012-11-22,NA,"obsr103929","S12287970","Historical","P62","EBIRD",NA,NA,NA,5,TRUE,NA,FALSE,TRUE,FALSE,NA,"Lodge & nearby trails (Rock, Tower, Treehouse), very short section of Haffer trail (rained out). Rainy afternoon.",NA
"236","S12288026","URN:CornellLabOfOrnithology:EBIRD:OBS172588440","2018-08-22 10:52:17",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2012-11-23,NA,"obsr103929","S12288026","Historical","P62","EBIRD",NA,NA,NA,5,TRUE,NA,FALSE,TRUE,FALSE,NA,"Lodge, Tower 1, Rio Cristalino, Haffer trail, Rock trail.",NA
"237","S62266132","URN:CornellLabOfOrnithology:EBIRD:OBS837564565","2019-12-13 11:12:47",12309,"species","Kawall's Parrot","Amazona kawalli","1",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2012-11-05,"16:00:00","obsr1461465","S62266132","Traveling","P22","EBIRD",120,16,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,"Zeer fraai te zien vanaf de 1e uitkijktoren, prachtig in de scoop en duidelijk de witte snavelrand (opgezet) te zien."
"238","S14263356","URN:CornellLabOfOrnithology:EBIRD:OBS199082261","2020-07-04 17:32:31",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-05-27,"06:00:00","obsr163746","S14263356","Traveling","P22","EBIRD",300,3.219,NA,6,FALSE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"239","S21418659","URN:CornellLabOfOrnithology:EBIRD:OBS291932984","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","1",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-05-17,"05:45:00","obsr556494","S21418659","Traveling","P22","EBIRD",105,1.609,NA,3,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"240","S44025766","URN:CornellLabOfOrnithology:EBIRD:OBS592630636","2018-04-05 12:32:58",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Cristalino Lodge--Lodge grounds","L2319668","H",-9.5975263,-55.9314823,2013-06-23,NA,"obsr750853","S44025766","Historical","P62","EBIRD",NA,NA,NA,9,TRUE,NA,FALSE,TRUE,FALSE,NA,"Birded Chip Haven tower in the AM; Brazil Nut Tree Trail in the PM; owling behind the lodge after dark. With Marcelo Padua and Field Guides birding group.",NA
"241","S47445022","URN:CornellLabOfOrnithology:EBIRD:OBS643055133","2018-07-25 19:16:10",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Cristalino Lodge--Torre 1","L2319134","H",-9.5987073,-55.9367341,2013-06-23,NA,"obsr309564","S47445022","Historical","P62","EBIRD",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"242","S66581879","URN:CornellLabOfOrnithology:EBIRD:OBS888861677","2020-04-06 13:05:58",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-06-23,"07:30:00","obsr278999","S66581879","Traveling","P22","EBIRD",540,5,NA,10,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"243","S66330824","URN:CornellLabOfOrnithology:EBIRD:OBS885115339","2020-03-29 13:09:27",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-06-19,"07:30:00","obsr278999","S66330824","Traveling","P22","EBIRD",540,5,NA,10,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"244","S30257566","URN:CornellLabOfOrnithology:EBIRD:OBS412343544","2018-04-15 21:19:47",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Cristalino Lodge--Torre 1","L2319134","H",-9.5987073,-55.9367341,2013-06-23,NA,"obsr508255","S30257566","Historical","P62","EBIRD",NA,NA,NA,NA,FALSE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"245","S15768671","URN:CornellLabOfOrnithology:EBIRD:OBS218945341","2018-04-15 21:20:35",12309,"species","Kawall's Parrot","Amazona kawalli","10",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Teles Pires--Ilha Ariosto","L878419","H",-9.6332163,-55.9393262,2013-07-31,"05:30:00","obsr199722","S15768671","Historical","P62","EBIRD",NA,NA,NA,9,FALSE,NA,FALSE,TRUE,FALSE,NA,"Numbers may include additional individuals seen on August 1-5.  VENT Tour leaders: Kevin Zimmer and Andrew Whittaker",NA
"246","S71145013","URN:CornellLabOfOrnithology:EBIRD:OBS952146390","2020-07-05 00:38:11",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-07-23,NA,"obsr163746","S71145013","Historical","P62","EBIRD",NA,NA,NA,1,FALSE,NA,TRUE,TRUE,FALSE,NA,NA,NA
"247","S15214847","URN:CornellLabOfOrnithology:EBIRD:OBS211483324","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-08-29,"06:15:00","obsr152076","S15214847","Traveling","P22","EBIRD",300,5,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"248","S14914200","URN:CornellLabOfOrnithology:EBIRD:OBS207478797","2015-09-30 16:32:35",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--upstream from Cristalino Lodge","L3859563","H",-9.5666937,-55.9139385,2013-08-12,"05:40:00","obsr412230","S14914200","Traveling","P22","EBIRD_CAN",46,3.7,NA,3,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Paul Prevett & Candy McManiman. Birds recorded from the boat along the Cristalino upstream from CJL to the Serra Nova trail.",NA
"249","S14896880","URN:CornellLabOfOrnithology:EBIRD:OBS207229412","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-08-10,"06:30:00","obsr152076","S14896880","Traveling","P22","EBIRD",210,2,NA,2,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"250","S14913337","URN:CornellLabOfOrnithology:EBIRD:OBS207467974","2018-04-15 21:22:30",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Cristalino Lodge--Serra Nova Trail","L2317041","H",-9.573283,-55.9214509,2013-08-12,"06:28:00","obsr412230","S14913337","Traveling","P22","EBIRD_CAN",337,2,NA,3,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Paul Prevett & Candy McManiman.",NA
"251","S14924315","URN:CornellLabOfOrnithology:EBIRD:OBS207617785","2018-04-15 21:19:47",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Cristalino Lodge--Torre 1","L2319134","H",-9.5987073,-55.9367341,2013-08-14,"05:50:00","obsr412230","S14924315","Stationary","P21","EBIRD_CAN",202,NA,NA,3,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Paul Prevett & Candy McManiman. The sun was behind cloud until ca. 7h30, but once it broke out the morning was very hot. A light breeze from the WSW gained strength until the time we left.",NA
"252","S15204495","URN:CornellLabOfOrnithology:EBIRD:OBS211351388","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","1",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-08-27,"06:00:00","obsr152076","S15204495","Traveling","P22","EBIRD",300,5,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"253","S15214921","URN:CornellLabOfOrnithology:EBIRD:OBS211484638","2020-09-23 10:53:07",12309,"species","Kawall's Parrot","Amazona kawalli","1",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-09-20,"05:30:00","obsr339449","S15214921","Stationary","P21","EBIRD",780,NA,NA,12,TRUE,NA,FALSE,TRUE,FALSE,NA,"Natural Encounters Birding and Wildlife Photography Tours' Day 10:  Canopy Tower #2 watch, followed by an impromptu view of owls around Cristalino Lodge and a surprise appearance of a Harpy Eagle about 5-minuteds up the trail to Canopy Tower #1; P.M. Cristalino River exploration into the crepuscular hours and early evening.  With Greg R. Homel, Raphael Santos, Susan Childs, Louise Edgerton, Ken Zaremba, Susan Kamprath, Cy and Karen Beeman, and Mike, Margaret and Teresa Gerutto.",NA
"254","S20293644","URN:CornellLabOfOrnithology:EBIRD:OBS277287694","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","4",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-09-25,NA,"obsr37316","S20293644","Incidental","P20","EBIRD",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"255","S15228484","URN:CornellLabOfOrnithology:EBIRD:OBS211677357","2020-09-23 10:53:07",12309,"species","Kawall's Parrot","Amazona kawalli","5",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-09-03,"06:15:00","obsr152076","S15228484","Traveling","P22","EBIRD",180,5,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"256","S16446046","URN:CornellLabOfOrnithology:EBIRD:OBS226817899","2019-08-14 16:52:52",12309,"species","Kawall's Parrot","Amazona kawalli","7",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-09-06,NA,"obsr37316","S16446046","Incidental","P20","EBIRD",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"257","S15147222","URN:CornellLabOfOrnithology:EBIRD:OBS210539655","2018-04-15 21:19:47",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Cristalino Lodge--Torre 1","L2319134","H",-9.5987073,-55.9367341,2013-09-11,"05:25:00","obsr412230","S15147222","Traveling","P22","EBIRD_CAN",330,2.5,NA,3,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Bert & Heike Charest. Tower 1 and Saleiro loop. Very hot and humid.",NA
"258","S15299734","URN:CornellLabOfOrnithology:EBIRD:OBS212717548","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","4",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-09-24,"06:30:00","obsr152076","S15299734","Traveling","P22","EBIRD",300,5,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"259","S15157526","URN:CornellLabOfOrnithology:EBIRD:OBS210662596","2015-09-30 16:33:49",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--upstream from Cristalino Lodge","L3859563","H",-9.5666937,-55.9139385,2013-09-08,"06:10:00","obsr412230","S15157526","Traveling","P22","EBIRD_CAN",55,3.75,NA,3,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Bert & Heike Charest. Birds recorded along the Cristalino river from Cristalino Lodge upstream to the Serra Nova trailhead.",NA
"260","S16361232","URN:CornellLabOfOrnithology:EBIRD:OBS225815700","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-09-16,"05:30:00","obsr142759","S16361232","Traveling","P22","EBIRD",720,4.828,NA,10,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"261","S15307066","URN:CornellLabOfOrnithology:EBIRD:OBS212825092","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-09-26,"06:00:00","obsr152076","S15307066","Traveling","P22","EBIRD",300,5,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"262","S16361779","URN:CornellLabOfOrnithology:EBIRD:OBS225821653","2021-03-31 16:01:37.67955",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-09-18,"05:30:00","obsr142759","S16361779","Traveling","P22","EBIRD",720,4.828,NA,10,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"263","S15246469","URN:CornellLabOfOrnithology:EBIRD:OBS211939124","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-09-16,"06:00:00","obsr152076","S15246469","Traveling","P22","EBIRD",300,5,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"264","S16446040","URN:CornellLabOfOrnithology:EBIRD:OBS226817223","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","1",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-09-07,NA,"obsr37316","S16446040","Incidental","P20","EBIRD",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,"H"
"265","S15429488","URN:CornellLabOfOrnithology:EBIRD:OBS214492096","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","1",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-10-16,"14:00:00","obsr229078","S15429488","Stationary","P21","EBIRD",240,NA,NA,5,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"266","S15467714","URN:CornellLabOfOrnithology:EBIRD:OBS215013072","2018-09-01 20:42:17",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-10-22,"06:30:00","obsr229078","S15467714","Traveling","P22","EBIRD",240,2,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"267","S15326135","URN:CornellLabOfOrnithology:EBIRD:OBS213081755","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-10-04,"06:00:00","obsr229078","S15326135","Traveling","P22","EBIRD",240,3,NA,6,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"268","S15474897","URN:CornellLabOfOrnithology:EBIRD:OBS215111961","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-10-23,"06:45:00","obsr229078","S15474897","Traveling","P22","EBIRD",300,18,NA,3,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"269","S15391380","URN:CornellLabOfOrnithology:EBIRD:OBS213963194","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-10-13,"05:45:00","obsr229078","S15391380","Traveling","P22","EBIRD",240,3,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"270","S15709099","URN:CornellLabOfOrnithology:EBIRD:OBS218222737","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","1",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-10-08,"06:00:00","obsr152076","S15709099","Traveling","P22","EBIRD",300,5,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"271","S15511752","URN:CornellLabOfOrnithology:EBIRD:OBS215614277","2018-09-01 20:42:17",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-10-27,"07:45:00","obsr229078","S15511752","Traveling","P22","EBIRD",240,8,NA,3,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"272","S15402626","URN:CornellLabOfOrnithology:EBIRD:OBS214122873","2020-09-23 10:53:07",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-10-14,"05:30:00","obsr229078","S15402626","Traveling","P22","EBIRD",300,3,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"273","S15451024","URN:CornellLabOfOrnithology:EBIRD:OBS214778238","2020-09-23 10:53:07",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-10-20,"06:40:00","obsr229078","S15451024","Traveling","P22","EBIRD",300,3,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"274","S15411527","URN:CornellLabOfOrnithology:EBIRD:OBS214249059","2018-08-22 10:52:20",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-10-15,"05:50:00","obsr229078","S15411527","Traveling","P22","EBIRD",330,4,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"275","S15342860","URN:CornellLabOfOrnithology:EBIRD:OBS213313781","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-10-06,"06:30:00","obsr152076","S15342860","Traveling","P22","EBIRD",240,5,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"276","S15314146","URN:CornellLabOfOrnithology:EBIRD:OBS212921983","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-10-01,"06:00:00","obsr152076","S15314146","Traveling","P22","EBIRD",300,5,NA,2,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"277","S15521574","URN:CornellLabOfOrnithology:EBIRD:OBS215740137","2018-08-22 10:52:21",12309,"species","Kawall's Parrot","Amazona kawalli","4",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-10-28,"06:45:00","obsr229078","S15521574","Stationary","P21","EBIRD",240,NA,NA,5,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"278","S15302198","URN:CornellLabOfOrnithology:EBIRD:OBS212750543","2021-03-10 19:03:49.571144",12309,"species","Kawall's Parrot","Amazona kawalli","3",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-10-01,"05:30:00","obsr229078","S15302198","Traveling","P22","EBIRD",420,3,NA,2,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"279","S15521828","URN:CornellLabOfOrnithology:EBIRD:OBS215743394","2015-09-27 22:06:29",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-10-29,"16:00:00","obsr229078","S15521828","Traveling","P22","EBIRD",150,10,NA,3,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"280","S36064687","URN:CornellLabOfOrnithology:EBIRD:OBS487175215","2020-09-23 10:53:23",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Mato Grosso","BR-MT",NA,NA,NA,NA,NA,NA,"Rio Cristalino--general area and historical lists","L875406","H",-9.5972613,-55.9311079,2013-10-31,NA,"obsr290902","S36064687","Historical","P62","EBIRD",NA,NA,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
